var,lon,mode0,lag
so,W10p0,4,12
so,W10p0,4,13
so,W10p0,4,14
so,W10p0,4,15
so,W10p0,4,16
so,W10p0,4,17
so,W10p0,4,18
so,W10p0,4,19
so,W10p0,4,20
so,W10p0,4,21
so,W10p0,4,22
so,W10p0,4,23
so,W10p0,4,24
so,W10p0,4,25
so,W40p0,2,0
so,W40p0,2,1
so,W40p0,2,2
so,W60p0,0,0
so,W60p0,0,1
so,W60p0,0,2
so,W60p0,0,3
thetao,W20p0,2,21
thetao,W20p0,2,22
thetao,W20p0,2,23
thetao,W20p0,2,24
thetao,W20p0,2,25
thetao,W30p0,8,12
thetao,W30p0,8,13
thetao,W30p0,8,14
thetao,W30p0,8,15
thetao,W30p0,8,16
thetao,W30p0,8,17
thetao,W30p0,8,18
thetao,W30p0,8,19
thetao,W40p0,2,0
thetao,W40p0,2,1
thetao,W40p0,2,2
