var,lon,mode0,lag
so,W10p0,4,2
so,W10p0,4,3
so,W10p0,4,4
so,W10p0,4,5
so,W10p0,4,6
so,W10p0,4,7
so,W10p0,4,8
so,W10p0,4,11
so,W10p0,4,12
so,W10p0,4,13
so,W10p0,4,14
so,W10p0,4,15
so,W10p0,4,16
so,W10p0,4,17
so,W10p0,4,18
so,W10p0,4,19
so,W10p0,4,20
so,W10p0,4,21
so,W10p0,4,22
so,W10p0,4,23
so,W10p0,4,24
so,W10p0,4,25
so,W20p0,8,23
so,W20p0,8,24
so,W20p0,8,25
so,W20p0,9,14
so,W20p0,9,15
so,W20p0,9,16
so,W20p0,9,17
so,W20p0,9,18
so,W20p0,9,19
so,W20p0,9,20
so,W20p0,9,21
so,W20p0,9,22
so,W20p0,9,23
so,W30p0,4,15
so,W30p0,4,16
so,W30p0,4,17
so,W30p0,4,18
so,W30p0,4,19
so,W30p0,8,11
so,W30p0,8,12
so,W30p0,8,13
so,W30p0,8,14
so,W30p0,8,15
so,W30p0,8,16
so,W30p0,8,17
so,W30p0,8,18
so,W40p0,2,0
so,W40p0,2,1
so,W40p0,2,2
so,W40p0,2,3
so,W40p0,2,4
so,W40p0,2,5
so,W40p0,2,6
so,W40p0,2,7
so,W40p0,2,8
so,W40p0,2,9
so,W60p0,0,0
so,W60p0,0,1
so,W60p0,0,2
so,W60p0,0,3
so,W60p0,0,4
so,W60p0,0,5
so,W60p0,1,18
so,W60p0,1,19
so,W60p0,1,20
so,W60p0,1,21
so,W60p0,1,22
so,W60p0,1,23
so,W60p0,1,24
so,W60p0,1,25
thetao,W10p0,0,0
thetao,W10p0,0,1
thetao,W10p0,0,2
thetao,W10p0,0,3
thetao,W10p0,0,4
thetao,W10p0,0,5
thetao,W10p0,0,6
thetao,W10p0,0,7
thetao,W10p0,0,8
thetao,W10p0,0,12
thetao,W10p0,0,13
thetao,W10p0,0,14
thetao,W10p0,0,15
thetao,W10p0,0,16
thetao,W10p0,0,17
thetao,W10p0,0,18
thetao,W10p0,0,19
thetao,W10p0,0,20
thetao,W10p0,0,21
thetao,W10p0,0,22
thetao,W10p0,0,23
thetao,W10p0,0,24
thetao,W10p0,0,25
thetao,W10p0,2,13
thetao,W10p0,2,14
thetao,W10p0,2,15
thetao,W10p0,2,16
thetao,W10p0,2,17
thetao,W10p0,2,18
thetao,W10p0,2,19
thetao,W10p0,2,20
thetao,W10p0,2,21
thetao,W10p0,2,22
thetao,W10p0,3,23
thetao,W10p0,3,24
thetao,W10p0,3,25
thetao,W20p0,2,13
thetao,W20p0,2,14
thetao,W20p0,2,15
thetao,W20p0,2,16
thetao,W20p0,2,17
thetao,W20p0,2,18
thetao,W20p0,2,19
thetao,W20p0,2,20
thetao,W20p0,2,21
thetao,W20p0,2,22
thetao,W20p0,2,23
thetao,W20p0,2,24
thetao,W20p0,2,25
thetao,W20p0,4,18
thetao,W20p0,4,19
thetao,W20p0,4,20
thetao,W20p0,4,21
thetao,W20p0,4,22
thetao,W30p0,3,17
thetao,W30p0,3,18
thetao,W30p0,3,19
thetao,W30p0,3,20
thetao,W30p0,3,21
thetao,W30p0,3,22
thetao,W30p0,3,23
thetao,W30p0,3,24
thetao,W30p0,3,25
thetao,W30p0,8,9
thetao,W30p0,8,10
thetao,W30p0,8,11
thetao,W30p0,8,12
thetao,W30p0,8,13
thetao,W30p0,8,14
thetao,W30p0,8,15
thetao,W30p0,8,16
thetao,W30p0,8,17
thetao,W30p0,8,18
thetao,W30p0,8,19
thetao,W30p0,8,20
thetao,W30p0,8,21
thetao,W30p0,8,22
thetao,W30p0,8,23
thetao,W40p0,1,22
thetao,W40p0,1,23
thetao,W40p0,1,24
thetao,W40p0,1,25
thetao,W40p0,2,0
thetao,W40p0,2,1
thetao,W40p0,2,2
thetao,W40p0,2,10
thetao,W40p0,2,11
thetao,W40p0,2,12
thetao,W40p0,2,13
thetao,W40p0,2,14
thetao,W40p0,6,23
thetao,W40p0,6,24
thetao,W40p0,6,25
thetao,W60p0,1,0
thetao,W60p0,1,1
thetao,W60p0,1,2
thetao,W60p0,1,14
thetao,W60p0,1,15
thetao,W60p0,1,16
thetao,W60p0,1,17
thetao,W60p0,1,18
thetao,W60p0,2,10
thetao,W60p0,2,11
thetao,W60p0,2,12
thetao,W60p0,2,13
thetao,W60p0,2,14
thetao,W60p0,9,4
thetao,W60p0,9,5
thetao,W60p0,9,6
thetao,W60p0,9,7
thetao,W60p0,9,8
thetao,W60p0,9,9
